"","index","value","variable","has_issue","issue_type"
"101",NA,"no enough money /// instances: 2","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"102",NA,"no money to go /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"103",NA,"No opportunity according to financal and health aspects /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"104",NA,"No road /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"105",NA,"No transport /// instances: 3","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"106",NA,"overcrowded buses /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"107",NA,"Restricted to move /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"108",NA,"roads /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"109",NA,"Snow drifts and ice - impossible to get to the store /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"110",NA,"usually don`t have money /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"111",NA,"Walk 3 km to the next village /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"112",NA,"woman /// instances: 2","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"113",NA,"woman can`t move /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"114",NA,"Accompanied by neighbors on a private taxi (300-500 UAH) /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"115",NA,"afraid to go somewhere because of wheather and health /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"116",NA,"Bad roads /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"117",NA,"bad weather conditions /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"118",NA,"Bad weather, ice-crusted ground, can`t go by bus with a  baby carriage /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"119",NA,"because of wheather conditions /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"120",NA,"bus canceled when bad wheather conditions  /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"121",NA,"By virtue of age, the medical facility travels to the medical facility  by private taxi and accompanied by a neighbor /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"122",NA,"Call the doctor /// instances: 2","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"123",NA,"can`t move /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"124",NA,"Difficulty moving in a wheelchair /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"125",NA,"diseases /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"126",NA,"Doctors and ambulance do not come on call, unsafe area. /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"127",NA,"don`t go anywhere /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"128",NA,"don`t go there /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"129",NA,"Hires a private car /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"130",NA,"Íåò ïàñïîðòà, ÷òîá ïðîéòè áëîêïîñòû /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"131",NA,"ice /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"132",NA,"ice-crusted ground /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"133",NA,"lack of specialists /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"134",NA,"military equipment /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"135",NA,"need a private transport or reletive to support /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"136",NA,"need peace /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"137",NA,"Need to hire a car /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"138",NA,"no money for treatment /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"139",NA,"No transport /// instances: 3","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"140",NA,"price of services /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"141",NA,"rent a car, very expensive /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"142",NA,"Restricted to move /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"143",NA,"roads /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"144",NA,"She does dressings on her own after surgery /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"145",NA,"Sweeps the road /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"146",NA,"Walk 3 km to the next village /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"147",NA,"woman /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"148",NA,"woman can`t move /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"149",NA,"woman says she doesn’t go to hospital; once her neighbors called an ambulance /// instances: 1","Questionnaire/hh_access_medicine_other",TRUE,"'other' response. may need recoding."
"150",NA,"All questions by proxy are decided by the son of the head of the household. /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"151",NA,"bad quality of  roads, rent a car to go somewhere /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"152",NA,"bad quality of  roads /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"153",NA,"Bad roads /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"154",NA,"bad weather conditions /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"155",NA,"Bad weather, ice-crusted ground /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"156",NA,"bus canceled when bad wheather conditions  /// instances: 4","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"157",NA,"can`t move /// instances: 2","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"158",NA,"can`t use public transport, needs a car /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"159",NA,"difficult to get there because of health problems /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"160",NA,"Difficult to get to because of the weather /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"161",NA,"Difficulty moving in a wheelchair /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"162",NA,"disease /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"163",NA,"does all necessary in the village council /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"164",NA,"doesn`t go there /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"165",NA,"doesn`t use /// instances: 7","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"166",NA,"don`t go anywhere /// instances: 3","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"167",NA,"don`t need /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"168",NA,"don`t use /// instances: 5","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"169",NA,"don’t need /// instances: 2","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"170",NA,"dons`t ask for /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"171",NA,"goes to Toretsk for social services /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"172",NA,"ice-crusted ground /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"173",NA,"Moves only with the help of a private taxi and accompanied by neighbors. /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"174",NA,"need peace /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"175",NA,"Need to hire a car /// instances: 2","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"176",NA,"no money /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"177",NA,"no need /// instances: 2","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"178",NA,"No opportunity according to financal and health aspects /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"179",NA,"No transport /// instances: 3","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"180",NA,"paid for grandmother`s taxi /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"181",NA,"problems with transport /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"182",NA,"Restricted to move /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"183",NA,"roads /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"184",NA,"The woman does not attend social institutions /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"185",NA,"woman /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"186",NA,"woman can`t move /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"187",NA,"woman does not attend social institutions /// instances: 1","Questionnaire/hh_access_social_serv_other",TRUE,"'other' response. may need recoding."
"188",NA,"A lot of fragments on the land where they grow vegetables. /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"189",NA,"Broken greenhouse /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"190",NA,"can`t use the land because military occupied it /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"191",NA,"doesn`t have access to land because of military /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"192",NA,"Expensive to work the land /// instances: 2","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"193",NA,"land in NGCA /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"194",NA,"mine destroyed the the harvest /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"195",NA,"no access to garden because of conflict /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"196",NA,"no access to land /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"197",NA,"no water /// instances: 3","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"198",NA,"no water because of conflict /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"199",NA,"no water, no security /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"200",NA,"Part of the land does not ferment due to pesticides in an explosive device /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"201",NA,"partially available /// instances: 2","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"202",NA,"plot of land in NGCA /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"203",NA,"plot of land not far from contact line /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"204",NA,"Problems with water due to shelling, shelling /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"205",NA,"shell hit /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"206",NA,"shelling /// instances: 21","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"207",NA,"snipers shoot around me When work in the garden /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"208",NA,"The market has changed /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"209",NA,"The settlement is located directly on the line of demarcation. In the village there is a dislocation of military personnel. There is a constant threat of shelling during agricultural work. /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"210",NA,"They sowed potatoes several times, but strangers dug it up. /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"211",NA,"This household is located directly near the line of demarcation, there is a probability of being hit by shelling. Also, soldiers of the Ukrainian Armed Forces periodically settle into empty neighboring households, which increases the risk. /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"212",NA,"tools were stolen /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"213",NA,"Unsafe due to periodic shelling /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"214",NA,"When shelling, I'm afraid to go out in the garden /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"215",NA,"wild animals /// instances: 1","Questionnaire/hh_access_to_plot_confl_infl_how_other",TRUE,"'other' response. may need recoding."
"216",NA,"disabled /// instances: 6","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"217",NA,"doesn`t work /// instances: 33","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"218",NA,"doesn`t work, old age /// instances: 1","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"219",NA,"don`t go anywhere /// instances: 1","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"220",NA,"don`t work /// instances: 6","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"221",NA,"health problems /// instances: 3","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"222",NA,"Lack of transport /// instances: 1","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"223",NA,"lost job /// instances: 1","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"224",NA,"Need to hire a car /// instances: 1","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"225",NA,"no job /// instances: 1","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"226",NA,"no job, no difficulties /// instances: 1","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"227",NA,"no need /// instances: 1","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"228",NA,"nobody works /// instances: 1","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"229",NA,"None of the household members work /// instances: 1","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"230",NA,"not applicable /// instances: 3","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
"231",NA,"pension /// instances: 1","Questionnaire/hh_access_work_other",TRUE,"'other' response. may need recoding."
